# Every reachable production ambient wall-clock source must have one row.
# Test and benchmark trees plus exact #[cfg(test)] items are excluded structurally.
path	pattern	classification	owner	rationale	removal_trigger
crates/nimbus-cli/src/encryption/rotate.rs	system_now_secs	SAMPLE_AT_SHELL	local-encryption	CLI rotation stamps serialized key-manifest epoch facts at the command boundary.	Pass one command observation if rotation logic becomes independently retryable or clock-sensitive.
crates/nimbus-cli/src/object_storage.rs	system_now_millis	SAMPLE_AT_SHELL	object-storage-cli	The command stamps a new object-placement epoch fact before persistence.	Inject the observation when placement construction moves behind a reusable service boundary.
crates/nimbus-convex/src/registry/loading.rs	SystemTime::now	UNIQUENESS_ONLY	convex-registry	Wall nanoseconds are combined with a process sequence solely to diversify deploy nonces.	Remove wall entropy if the process sequence becomes globally unique by construction.
crates/nimbus-core/src/clock.rs	Timestamp::now	SYSTEM_ADAPTER	core-clock	SystemWallClock is the canonical ambient wall-clock adapter.	Replace the private Timestamp constructor with direct SystemTime conversion when Timestamp arithmetic owns that conversion.
crates/nimbus-core/src/clock.rs	system_now_millis	SYSTEM_ADAPTER	core-clock	Canonical free adapter for shells with no stateful clock owner.	Remove when the final stateless shell caller owns an explicit SystemWallClock.
crates/nimbus-core/src/clock.rs	system_now_secs	SYSTEM_ADAPTER	core-clock	Canonical seconds-flooring adapter for shells with no stateful clock owner.	Remove when the final stateless shell caller owns an explicit SystemWallClock.
crates/nimbus-core/src/document.rs	Timestamp::now	SYSTEM_ADAPTER	core-document	The convenience Document constructor preserves its historical ambient creation/update stamp.	Remove after all production callers use with_id_at or an Engine-owned construction path.
crates/nimbus-core/src/types.rs	SystemTime::now	SYSTEM_ADAPTER	core-clock	Private Timestamp ambient constructor is reachable only through canonical core adapters and Document convenience construction.	Remove when SystemWallClock performs the SystemTime conversion directly and Document no longer mints time.
crates/nimbus-crypto/src/manifest.rs	system_now_secs	SAMPLE_AT_SHELL	local-encryption	New manifests serialize creation and rotation epoch facts.	Pass one observation into manifest construction when creation becomes retryable or externally orchestrated.
crates/nimbus-crypto/src/materials.rs	system_now_secs	SAMPLE_AT_SHELL	local-encryption	Material generation stamps a serialized key-manifest header at its shell.	Pass one observation into header construction if this helper gains policy branching or retries.
crates/nimbus-crypto/src/runtime.rs	system_now_secs	SAMPLE_AT_SHELL	local-encryption	Runtime key generation stamps serialized manifest metadata before provider invocation.	Sample once and pass explicitly if providers begin observing or validating the timestamps.
crates/nimbus-dynamodb/src/commands/control_plane.rs	system_now_millis	SAMPLE_AT_SHELL	dynamodb-control-plane	Table descriptions expose a DynamoDB-compatible fractional creation epoch.	Thread an adapter observation if control-plane construction gains deterministic replay tests.
crates/nimbus-dynamodb/src/commands/stream.rs	system_now_secs	INJECT	dynamodb-streams	Stream creation and retention cutoff behavior depend on wall time.	Replace with an owned clock before adding restart or wall-divergence retention guarantees.
crates/nimbus-fs/src/object/write.rs	system_now_millis	SAMPLE_AT_SHELL	object-filesystem	Object writes stamp serialized last-modified metadata at the storage shell.	Pass the write observation from the owning Engine path when object writes join a wider atomic unit.
crates/nimbus-kv/src/server.rs	system_now_millis	INJECT	nimbus-kv	RESP expiry commands convert relative TTLs to persisted epoch deadlines.	Inject a wall observation before adding deterministic expiry or clock-correction tests.
crates/nimbus-license/src/snapshot.rs	system_now_millis	INJECT	license-policy	License expiry and warning windows compare signed epoch facts to the current wall clock.	Move observation to the verification shell when license validation is next hardened.
crates/nimbus-proxy/src/tls_authority.rs	SystemTime::now	EXTERNAL_TYPE	proxy-tls	rustls certificate validity and leaf-cache refresh are typed in SystemTime.	Use WallClock::now_systemtime if cache freshness needs deterministic clock-movement tests.
crates/nimbus-runtime/src/runtime/bootstrap/ops/shared.rs	SystemTime::now	SAMPLE_AT_SHELL	runtime-bootstrap	Each invocation captures one wall epoch for deterministic guest Date behavior.	Pass the invocation observation from the runtime host if cross-runtime clock simulation is introduced.
crates/nimbus-runtime/src/runtime/bundle.rs	SystemTime::now	UNIQUENESS_ONLY	runtime-bundle	Filesystem mtime failure falls back to wall entropy for a cached deploy stamp seed.	Remove when deploy identity no longer incorporates filesystem timestamps.
crates/nimbus-sandbox/src/backends/container/runtime.rs	system_now_millis	SAMPLE_AT_SHELL	container-runtime	Exit handling converts a restart backoff into a persisted epoch deadline at the lifecycle shell.	Inject the observation if restart recovery gains deterministic wall-correction behavior.
crates/nimbus-sandbox/src/backends/krun/vm/lifecycle.rs	system_now_millis	SAMPLE_AT_SHELL	krun-runtime	Exit handling converts a restart backoff into a persisted epoch deadline at the lifecycle shell.	Inject the observation if restart recovery gains deterministic wall-correction behavior.
crates/nimbus-s3/src/service.rs	system_now_millis	SAMPLE_AT_SHELL	s3-adapter	S3 responses and object manifests require serialized last-modified epoch facts.	Pass one request/write observation if S3 mutation timestamps become Engine-owned atomic metadata.
crates/nimbus-server/src/adapters/convex/handlers/function_routes/mod.rs	system_now_millis	SAMPLE_AT_SHELL	convex-telemetry	A transient invocation trace stamps its request start for system-table telemetry.	Capture from request context if trace timestamps become part of retry or ordering policy.
crates/nimbus-server/src/adapters/dynamodb/ttl_sweeper.rs	system_now_secs	SAMPLE_AT_SHELL	dynamodb-ttl	The background shell samples once and passes now explicitly into the pure sweep policy.	Move the SystemWallClock into scheduler composition if the loop gains deterministic cadence tests.
crates/nimbus-server/src/adapters/s3/listener.rs	system_now_millis	INJECT	s3-listener	Presigned download expiry validation and issuance depend on the current wall epoch.	Move observation to an explicit request shell before expanding signed-token security coverage.
crates/nimbus-server/src/local_server/discovery.rs	SystemTime::now	UNIQUENESS_ONLY	local-server	Wall nanoseconds only diversify an atomic temporary discovery filename.	Replace with a process counter if collision analysis no longer permits wall entropy.
crates/nimbus-services/src/manager/clock.rs	system_now_millis	SYSTEM_ADAPTER	service-manager	Concept-owned adapter stamps service and sandbox resource epoch metadata.	Inject through manager state if lifecycle tests require simulated wall movement.
crates/nimbus-system/src/records/mod.rs	system_now_millis	SAMPLE_AT_SHELL	system-records	System-table documents receive serializable created and updated epoch facts.	Pass the Engine observation if record writes must share an exact commit timestamp.
